,Hydro,PumpedStorage,Nuclear,Coal,FuelGas,DieselEngines,GasTurbine,SteamTurbine,CombinedCycle,Hydroeolian,Wind,SolarPhotovoltaic,ThermalSolar,OtherRenewables,Cogeneration,NonRenewableWaste,RenewableWaste,TotalGeneration,year,month
2018-12,2486725.1169999987,132478.591,4286760.675,3026789.0930000027,,243128.66499999995,38271.629,207242.83,3209399.903,909.733,4363778.910999997,430214.766,109574.874,300446.5319999999,2533201.711,204462.39099999983,83614.4239999999,21656999.845,2018,12
2019-01,2127215.0510000004,160236.159,5041388.826,3292737.911999997,,244732.12400000004,44471.036,218650.612,3497660.44,1109.656,6027203.734999991,507327.131,166150.129,304554.0979999998,2674800.5020000003,206705.01750000007,73613.60949999996,24588556.037999988,2019,1
2019-02,2483405.4739999985,184627.656,4766785.658,2411178.5899999947,,210420.37999999983,41544.32,212981.811,2730581.106,972.545,3695709.6069999994,634799.143,261978.603,285703.8169999998,2394849.7090000003,188098.9705,69241.49950000002,20572878.88899999,2019,2
2019-03,2132667.2879999992,182227.471,5274747.282,966325.0979999996,,209798.28000000012,53628.455,209060.31,2437362.725,1955.158,4921192.632000003,812728.041,477846.093,310426.4150000001,2594573.179999998,212401.60700000008,78982.702,20875922.736999996,2019,3
2019-04,1926065.4119999995,129466.814,4621662.922,849942.2209999999,0.001,216937.78999999983,50182.495,199954.574,3037267.222,1548.369,4663698.402000001,703515.765,379268.817,275230.6489999998,2492475.522000003,189259.25499999995,78095.67699999995,19814571.90700001,2019,4
2019-05,1935367.585,124931.376,3976917.465,465000.0290000005,-0.001,221392.69900000017,50869.689,201714.346,4223793.661,2031.012,4677077.558999998,940395.949,740997.727,283124.72400000016,2547230.6980000027,168295.2379999998,50063.65899999999,20609203.415000003,2019,5
2019-06,1626902.976,54725.82,4647876.956,515009.22499999945,,251377.931,53242.69,209910.558,5478846.625,1372.141,3287492.495000002,934562.062,775057.606,286631.0739999998,2422763.7219999987,170690.03900000022,76416.73699999996,20792878.657,2019,6
2019-07,1582244.9179999998,24305.242,5123111.728,834325.0989999996,0.0,261696.10500000016,88988.336,137955.038,7379659.616,3727.338,3440870.7899999977,1003565.027,722867.49,326868.1569999998,2459280.408999999,176176.20800000007,80477.05900000001,23646118.559999995,2019,7
2019-08,1255012.1400000008,70640.006,5068144.387,598405.305,-0.001,281653.44200000004,87894.628,116694.829,7388506.266,3475.119,2890769.658000002,1015180.943,745498.771,321414.94100000017,2358077.101999999,195265.90000000008,79105.36100000002,22475738.797000002,2019,8
2019-09,1225264.4750000006,104264.726,4995506.281,683074.5839999999,0.001,257737.0560000001,70446.732,157509.026,5741488.022,2218.351,3895429.139999993,861514.233,454731.865,301967.93899999995,2357197.593000001,202078.23450000017,77785.26949999991,21388213.52799999,2019,9
